name,twitter,Political group,Nationality
VAN BREMPT Kathleen,kvanbrempt,Greens,Sweden
CESA Lorenzo,L_Cesa,Greens,Belgium
LAMBSDORFF Alexander Graf,Lambsdorff,EPP,Netherlands
LANGEN Werner,langen_werner,NI (Front National),France
FERRARA Laura,LauraFerraraM5S,GUE,France
LE PEN Jean Marie,lepenjm,ALDE,Croatia
RANGEL Paulo,libertarofuturo,ECR,Germany
GERINGER de OEDENBERG Lidia Joanna,lidiageringer,S&D,Czech Republic
SENRA RODRÃGUEZ Lidia,LidiaSenra,EPP,Germany
McAVAN Linda,LindaMcAvanMEP,EPP,Luxembourg
ENGSTRÖM Linnéa,LinneaEngstrom,Greens,France
BOYLAN Lynn,LNBDublin,S&D,France
PETERLE Alojz,lojzepeterle,EPP,Romania
SÁNCHEZ CALDENTEY Lola,LolaPodemos,ALDE,Bulgaria
ALIOT Louis,louis_aliot,ALDE,Bulgaria
IDE Louis,louis_ide,EPP,France
ANDERSON Lucy,LucyAndersonMEP,S&D,Hungary
NIEDERMAYER Luděk,LudekNie,S&D,Slovakia
FLANAGAN Luke Ming,lukeming,S&D,Sweden
NISTERLROOIJ Lambert van,LvNistelrooij,ECR,UK
GIUFFRIDA Michela,m_giuffrida,S&D,Slovakia
MACH Petr,MachCZ,ECR,UK
McGUINNESS Mairead,MaireadMcGMEP,NI (Partij voor de Vrijheid),Netherlands
MALETIĆ Ivana,MaleticIvana,NI (Lega Nord),Italy
BJÖRK Malin,MalinBjork_EU,NI (Front National),France
ALLIOT MARIE Michèle,MAlliotMarie,S&D,UK
WEBER Manfred,ManfredWeber,S&D,Netherlands
JOULAUD Marc,MarcJoulaud,EFDD,Italy
AFFRONTE Marco,marcoaffronte,S&D,Spain
VALLI Marco,MarcoValliM5S,GUE,Portugal
ZULLO Marco,MarcoZullo,S&D,Romania
TARABELLA Marc,marctarabella,Greens,Germany
PRETZELL Marcus,MarcusPretzell,GUE,Spain
JUREK Marek,marekjurek,S&D,France
PARKER Margot,MargotLJParker,ALDE,Lithuania
AUKEN Margrete,MargreteAuken,EPP,Poland
HARKIN Marian,MarianHarkin,ECR,Greece
MARINESCU Marian Jean,MarianMarinescu,GUE,Italy
SPYRAKI Maria,MariaSpyraki,EPP,Lithuania
